,SMARCA1,FMO4,HLF,AKAP12,LINC00862,SEMA4A,TUBB3,UGGT2,DBP,GSTM2,STRIP2,ATP13A5,ITGA9-AS1,SDR42E1,NKILA,PRSS12,TEF,PCDHA13,HTR1D,ITGB1-DT,PNMA1,ADAMTS6,LINC00346,FAM83A-AS1,BLOC1S4,TP53I3,VAV2,INSYN1-AS1,PLEKHG2,LINC02598,GVQW2,DNAJC10,CTTNBP2,IBTK,FAM117A,FUBP1,JPH1,WSCD2,SLC52A1,RHOF,ABL2,CBX7,ASTE1,COLCA1,TM9SF1,LRP10,HARS2,SLC9A9,COBLL1,FBXO4,FAM222B,IRX6,SLC15A2,SYNPR-AS1,PVR,SLC1A4,KLRG2,LINC00240,BZW1,train_mean_me1,train_mean_me2,train_mean_me3
TRAIN_0011,5.9516,1.0802,1.1002,9.575,-1.5928,5.0209,2.7561,4.5045,3.3468,2.8564,3.7584,-4.2773,-0.5769,1.9181,2.6347,-0.096,2.3931,-0.5455,3.1949,2.868,4.9587,0.7795,1.8192,4.8278,4.4423,5.8569,6.1416,-4.2773,7.1265,-2.6924,-2.2267,7.3997,-2.4408,6.6486,3.6909,6.8005,-1.0623,-3.1778,2.586,6.3638,4.2646,3.9686,2.4795,0.3162,3.5106,9.4695,5.083,3.0329,4.7182,3.8644,5.4586,-1.9554,3.0329,-3.9148,7.485,4.6462,-2.8368,2.1984,8.3992,-0.044326692,0.006371442,-0.007152138
TRAIN_0012,5.9264,1.5813,2.8789,3.2388,0.3899,6.3414,2.4539,5.2631,3.9461,3.3891,2.8229,-4.5509,-0.2187,3.02,-1.0184,2.3053,4.7687,-3.2708,0.8166,-1.2922,5.4815,2.2583,0.249,2.2729,4.0924,4.6491,5.8036,-1.6304,6.5817,-2.0729,-0.3249,7.7378,-0.8191,7.0882,4.128,6.1374,2.0233,-2.966,-1.381,3.5835,4.2187,2.3916,3.0836,-2.6034,3.7192,8.2781,4.2168,1.7424,4.3066,3.1896,5.0402,-5.7733,3.9335,-0.2187,5.3821,6.5867,2.2838,0.6361,7.9287,-0.04255172,-0.010986161,-0.088993717
TRAIN_0013,5.7002,2.2827,6.6484,3.374,-2.8087,7.0913,1.1498,4.1037,3.4271,3.0057,2.2278,-3.0982,1.4114,3.8804,1.3244,-0.0393,5.3041,0.6023,-4.6831,-2.8087,5.1031,0.8509,0.6977,2.1624,3.9279,4.9816,5.9441,-6.2681,4.6485,-6.2681,-2.5676,6.8767,-0.6534,5.6504,4.6515,6.2977,4.4926,0.0357,2.7006,2.6478,4.6912,5.1323,2.8431,3.7749,3.4717,8.5543,4.8463,3.2496,5.7188,4.4263,5.7153,-1.0586,3.9667,-0.5957,5.9398,6.0451,-3.9462,0.1749,6.6786,-0.027351293,-0.032043182,0.007169343
TRAIN_0014,7.1959,1.5338,1.5091,5.43,-0.9364,5.1498,2.5323,4.3012,4.2026,2.9907,2.5169,-2.0604,0.5551,4.2255,3.3451,2.8746,3.9902,-0.2062,-1.415,-4.1759,5.7097,1.205,2.9818,-0.7759,4.8676,5.0484,5.3202,-3.4389,7.0997,-7.3458,-1.6734,8.1898,-0.8701,6.2053,4.2749,6.7371,2.6752,-1.9882,1.4519,2.8153,5.118,4.3525,2.7822,2.9338,4.0987,8.3167,5.3631,2.6386,5.3742,1.9045,5.4738,-1.0059,2.9361,-0.2268,5.9825,5.9247,-1.117,-0.4033,7.136,-0.033804774,0.00054941,-0.035011113
TRAIN_0015,5.1284,2.527,3.5487,4.3597,-5.9768,5.1672,0.0456,4.1868,3.864,2.0511,2.2853,-1.5845,1.4241,4.3597,-0.1954,5.7777,5.1925,-3.1695,1.7167,-1.4532,5.7777,1.2993,3.9672,-2.8069,3.4177,4.3906,6.4602,-5.9768,4.9983,-4.3918,-1.0226,7.4935,5.00E-04,7.1549,4.2604,6.5732,2.8466,-0.7674,-1.4532,2.7747,4.5845,5.2062,3.3293,4.4836,3.3201,9.7447,5.1192,2.6562,5.8565,2.5892,5.8675,1.6885,4.2508,0.0456,6.2152,5.0026,-0.485,-1.333,7.2331,-0.028595145,-0.045056947,-0.013891447
TRAIN_0016,5.0296,1.924,4.3503,6.231,-2.472,5.7673,2.6484,3.8543,3.4369,3.0958,3.4407,-1.4146,1.1546,2.8054,2.0033,2.7333,5.3607,-4.8741,3.6069,0.2552,6.1214,1.5498,3.0942,3.1443,4.1455,6.5062,6.6216,-2.8235,5.2469,-3.594,-0.424,6.5082,0.966,5.4961,4.6604,6.6064,2.5982,-0.2138,2.7269,3.8109,4.9178,4.9187,2.8529,4.0647,3.0626,8.3125,5.3929,4.0486,4.7063,3.7327,5.0712,2.2567,4.7711,-1.5317,4.6146,5.0632,1.7087,-0.2977,7.6587,-0.016522334,0.023590541,0.010487235
TRAIN_0017,7.0212,1.7893,2.4413,6.6738,-2.0725,5.3988,2.1637,5.0026,3.7169,3.5101,3.241,-4.188,-0.8188,4.7038,-0.915,-0.6437,3.3691,-2.9656,-1.2494,0.0599,4.7279,0.8852,0.5669,0.7028,4.2508,5.4051,4.3473,-5.773,6.7306,-5.773,-0.915,7.5508,-0.8188,6.561,3.7249,6.1787,-0.2811,-4.188,-1.1291,2.517,4.0328,3.1489,3.044,1.0472,3.2072,8.7637,4.329,4.7959,3.5008,5.0223,4.0035,-0.6437,3.5331,-4.188,5.1892,5.0287,-4.188,0.3355,7.7404,-0.042074949,0.015406606,0.016233739
TRAIN_0018,5.7747,3.3827,4.2653,3.1633,-1.5916,5.2755,1.3524,3.7842,4.276,3.5196,0.4547,-0.8298,0.5713,4.5722,1.8563,3.0218,5.3011,-6.1152,-0.6889,-3.7933,4.2456,-0.5606,0.424,-1.4713,4.2079,5.6131,4.5041,-4.5302,3.3132,-1.7229,-2.2083,5.8211,2.6954,6.1085,3.9414,6.1425,4.7153,-1.4713,2.5537,2.2112,4.3226,4.3736,3.2402,4.4556,2.7272,7.2901,4.3246,3.992,4.4365,5.2809,3.5341,0.8735,5.2118,2.481,4.4307,4.7834,1.5359,1.724,7.5923,-0.02161888,-0.037949421,-0.01017773
TRAIN_0019,5.6995,0.9199,2.8809,2.0726,-0.9086,3.2193,2.3576,5.1441,2.8881,3.5304,2.6555,-1.6791,1.8988,2.1583,2.6471,-0.0941,3.8791,-5.7666,2.3576,-0.212,5.2744,-0.5571,2.9234,0.8917,5.027,7.1875,4.7162,-4.1816,3.85,-5.7666,-1.243,7.3786,-0.0941,5.7876,3.6867,6.341,3.9597,-1.3742,0.3832,2.5418,4.1115,3.2079,3.6019,1.5644,3.0115,7.5878,3.897,3.0376,4.0868,6.5596,3.9006,-2.9592,3.9933,2.3262,4.6139,3.0115,2.7051,1.0279,8.9744,-0.034832896,-0.017064846,-0.038786634
TRAIN_0020,5.7377,2.4824,0.0567,4.6848,-3.0186,2.9717,0.0567,4.7486,2.991,0.8605,1.5577,-5.826,0.5834,4.8891,1.9878,5.3865,4.2628,-5.826,2.1797,0.1964,5.0862,1.8951,0.3639,-1.0711,4.7334,6.0977,5.569,-5.826,4.2198,-5.826,-3.504,6.9776,-0.2113,6.3868,3.1768,6.4632,3.3415,1.2508,1.8535,3.9733,3.5813,4.1811,3.8197,4.0085,3.3364,8.9759,5.0544,1.9619,4.8152,4.5887,5.4142,-3.504,1.1398,-1.3024,5.0605,3.7496,-5.826,-0.5406,8.1034,-0.028904768,-0.012407815,-0.001416997
TRAIN_0021,5.6148,2.6864,5.6583,4.2019,0.3087,6.5052,1.8524,4.3326,4.0277,2.0956,1.1923,-1.3175,0.4257,4.5715,0.4627,1.5426,4.4524,-2.6712,1.81,-4.2561,4.5609,-0.7118,2.0231,1.781,4.1146,5.204,5.5625,-5.8411,3.6039,-4.2561,-2.6712,7.2426,0.4627,6.2367,4.7983,5.9042,3.0568,-0.7118,3.2331,2.0598,5.2162,3.4965,2.6224,0.7883,3.6407,9.3085,4.4455,2.8834,5.0681,3.3413,6.09,1.6903,5.2811,-0.4835,5.9075,6.6263,1.7955,-0.3492,7.6696,-0.026975649,0.019606069,0.008886689
TRAIN_0022,6.5549,2.6521,4.8924,4.9883,-2.8834,5.719,2.6946,3.7901,3.6365,5.3465,0.6545,1.7781,1.2427,3.3659,2.3557,4.8429,5.8686,-2.8834,-2.0603,-1.94,6.0936,2.0123,1.7425,-4.9989,4.468,3.8202,4.421,-0.9692,5.0081,-2.336,-0.6066,7.0599,2.2772,5.8572,4.1105,6.5232,1.6304,0.8673,-1.4546,0.1026,4.7599,4.9372,3.9348,2.5582,2.8106,7.6955,4.9528,3.4062,6.0083,3.1009,4.1651,1.4217,2.5633,-4.262,4.1551,8.5606,-0.5178,0.5557,7.4551,0.015597477,0.030016016,-0.008437016
TRAIN_0023,1.7822,2.0699,4.2273,2.2279,-4.7193,6.4558,0.4264,3.8098,3.6497,6.9538,1.5918,-0.1223,-0.383,4.8855,-0.4413,4.7015,4.3047,-7.0412,-2.9538,-3.5818,4.0429,-0.4413,1.8866,-4.7193,3.6232,4.0926,5.9302,-3.3408,4.2191,-3.8713,1.1535,7.0236,1.7822,5.4266,5.8174,5.8519,1.6627,2.9489,2.5863,1.54,4.434,4.0977,3.5891,6.9127,2.7516,6.5269,4.5215,6.5892,5.2508,4.1492,5.5529,1.4223,3.5372,-7.0412,5.6305,5.1471,0.9303,1.4941,7.3015,0.023102376,0.021734955,0.0480629
TRAIN_0024,4.7515,2.1893,5.304,3.1285,-2.3123,5.5764,-0.0944,3.7139,3.9115,5.248,3.174,1.4995,0.7715,3.8861,-1.0545,0.9257,5.3812,-6.8359,-0.2967,-4.0285,4.5233,-0.607,-0.496,1.2986,4.0445,4.9203,4.0307,-4.5139,4.3309,-0.8135,0.7715,6.2524,2.7844,5.2164,4.3234,6.7799,3.1989,0.565,4.2496,0.9389,3.5272,4.9687,2.7917,4.592,3.2369,8.3375,4.3681,3.6946,5.8055,5.0616,4.8003,3.3797,5.4733,0.7264,4.6872,8.8751,4.2785,1.3589,7.6927,0.053222352,0.00473436,0.043893667
TRAIN_0025,5.3026,5.3344,3.0654,2.9662,-4.7713,6.8774,0.1829,3.934,5.1538,4.1824,1.7617,4.3082,0.6279,5.5772,1.9809,5.5204,5.7839,-7.0932,-4.2858,-3.1863,4.6059,-0.435,1.2862,1.5614,3.6708,3.0705,4.1266,-1.0271,4.8686,0.1452,-0.0379,6.1932,2.7286,5.0833,3.5889,5.9845,4.1553,-2.5696,2.0489,0.4537,4.5655,4.2372,4.1824,2.0438,2.9194,7.5964,4.1905,3.0476,5.7497,5.3858,3.8905,2.4126,5.5295,-0.6838,5.3047,4.9461,2.1806,2.3642,7.0568,0.043911577,-0.067086535,0.012921038
TRAIN_0026,5.4051,3.1326,3.3266,3.3111,-6.2184,6.8858,0.8369,4.3806,3.1847,4.0519,1.2163,3.8651,1.0008,4.9244,-0.437,4.2277,4.1556,-6.2184,-2.7589,-6.2184,5.4492,0.5498,2.1782,1.7183,3.8544,4.8751,4.2825,-3.411,3.8192,-2.7589,-0.7265,6.4039,2.9288,5.0974,4.2482,6.2897,3.7139,-3.0484,3.4699,1.1653,4.9371,3.746,3.5315,4.6466,3.6566,8.0081,4.3581,4.6153,7.048,4.8047,4.4933,1.7416,4.9782,-1.6948,5.6874,7.847,0.5231,0.1215,7.4553,0.050938759,-0.026296781,0.03993541
TRAIN_0027,3.9503,2.3281,5.0862,1.1224,-2.8138,5.7778,-2.8138,3.4239,2.8717,8.4937,2.7827,-6.5142,1.3987,4.0044,-2.1219,6.7829,5.6193,-6.5142,0.144,-4.9292,3.1845,0.4516,0.2802,-4.1923,3.5012,3.6112,4.8861,-3.7069,4.6873,-2.1219,0.4047,6.3713,2.8279,4.766,5.1301,6.8327,3.0152,-1.9906,5.3535,1.5679,4.6387,4.0903,2.6431,7.2677,2.6731,7.3674,4.8668,4.8527,6.0228,3.7514,3.6419,4.1395,2.3836,-2.2663,4.5619,9.6948,0.7619,1.2867,7.0976,0.042507719,-0.053966449,0.057231828
TRAIN_0028,5.453,2.7214,0.9483,5.2497,-2.7958,5.9436,2.8538,4.4117,3.9129,1.358,1.7024,-2.7958,1.5405,1.5687,2.899,6.477,4.5279,-0.5942,-2.3104,-1.9478,5.4359,0.9046,1.358,-5.1178,3.2703,4.8581,5.5679,-2.7958,4.7634,-1.6583,-1.0303,7.5633,2.8422,5.0953,3.1906,6.7607,4.454,-2.3104,2.231,0.4368,4.748,3.9184,3.0167,0.813,3.5152,7.6958,4.3559,3.6669,4.7755,5.6984,4.6455,1.032,5.2692,-5.1178,6.102,7.8417,2.7464,0.9908,7.4627,0.029696177,-0.02760197,0.018525974
TRAIN_0029,4.8087,5.8102,1.7313,1.8613,-4.1611,6.5402,2.2415,0.1169,4.4034,1.7602,1.6718,0.5282,0.8657,4.2009,0.5504,-0.7551,5.2914,-6.483,-3.0236,-6.483,4.8133,0.0868,3.1445,1.0484,3.5898,4.0571,4.2794,-4.1611,5.3439,-0.8106,-0.8683,6.0733,5.0083,6.029,4.0571,5.4145,4.6521,-4.1611,1.905,0.2035,4.3138,4.3804,4.281,3.6163,3.2364,8.6591,4.5177,3.7989,8.0841,2.8767,5.3839,0.1169,4.8773,-2.5761,4.8839,5.2074,3.7179,0.8116,7.5725,0.037801909,-0.086649387,0.046335211
TRAIN_0030,4.8067,2.7056,2.3011,3.0669,-2.1699,5.6242,1.5175,3.4992,4.2867,3.3106,1.45,4.2944,1.2425,6.0168,0.4569,5.628,5.0356,-4.6724,-4.6724,-6.2573,4.7727,-1.7338,0.1521,1.5565,4.5524,4.0223,3.707,-4.6724,4.0836,-1.6135,0.8407,6.7728,0.8407,4.8013,4.043,5.7167,4.5557,-1.865,2.0141,0.1521,3.1584,2.8381,4.2653,3.6146,3.3592,7.0055,4.9924,6.1739,6.7562,5.0171,4.197,5.0831,6.1087,-0.8311,5.1355,6.9305,3.2285,2.7843,7.4081,0.043733797,-0.033062662,0.009928813
TRAIN_0031,5.1935,2.8931,3.8326,3.8989,-2.6156,6.0224,2.1109,4.5001,3.2463,7.6113,2.3821,2.3581,1.4265,4.8138,-0.2341,3.3545,5.1106,-6.8635,-2.4712,-3.4041,4.7106,0.2555,0.2345,-0.0433,3.792,4.4167,5.0809,0.8019,4.6299,-1.8191,0.1918,6.7509,3.599,5.4141,4.8486,6.5468,4.5602,1.8125,1.6718,0.6041,4.8572,4.0061,4.0336,3.3521,2.5774,7.689,4.1857,4.9714,6.1197,4.0621,4.3933,3.7992,4.3429,-1.1911,5.1915,7.0822,2.7604,0.4494,8.4044,0.053244482,-0.023221286,0.034510914
TRAIN_0032,4.8556,2.4402,4.7118,4.9823,-3.1745,6.4632,0.176,2.9914,3.3584,3.0153,1.19,-3.9115,0.4808,3.8677,-0.3672,2.5425,5.0724,-5.4965,-2.3265,-3.1745,4.9924,0.2315,0.7703,-5.4965,3.7299,4.8243,4.6995,-0.7416,4.1706,-3.9115,0.4808,7.1454,4.16,5.6927,4.8731,6.4048,4.28,1.5148,2.5092,1.2178,4.8666,4.2534,3.7866,7.2223,3.3333,7.4389,4.3662,5.1786,7.4237,4.142,4.571,3.3831,4.4475,-0.1389,4.9076,6.9248,2.9087,-1.409,7.3516,0.037530938,-0.022259581,0.026340934
TRAIN_0033,5.4238,2.777,4.1074,2.4957,-2.5806,6.9591,0.2483,3.7385,3.1096,4.6242,1.5334,2.7009,1.6186,4.2556,0.1827,3.4111,3.9002,-6.8285,-3.6586,-2.9216,5.1768,-1.0472,0.8368,-1.2739,3.5323,3.2523,6.5148,0.3906,3.4787,-4.0212,-1.0472,6.2525,-3.1281,5.4971,5.2203,6.3491,4.002,-2.305,2.6653,0.3313,5.7642,4.5761,3.809,8.319,3.3123,8.224,4.6077,2.5573,6.8908,4.9007,5.0772,2.4821,4.0256,-0.8512,5.3017,8.1882,3.5925,-1.8743,7.0687,0.044158417,-0.020894784,0.041101647
TRAIN_0034,5.5889,1.6571,5.1381,3.1445,-4.8633,5.3787,2.3166,3.9715,4.2373,3.6859,2.0978,-0.2195,2.1389,4.8717,-0.8102,4.6551,6.2275,-4.0153,-5.6003,-7.1852,5.1593,-1.5128,0.6789,0.5629,3.7813,3.6293,6.2152,-2.4304,4.6824,-4.3779,-0.2195,6.2235,2.3086,5.1245,5.4475,7.3321,5.3381,1.35,3.5281,0.2824,4.9831,4.2065,4.4225,7.3694,2.7675,7.8593,5.0859,1.6445,7.1257,3.3334,5.1577,2.0651,3.2813,-4.0153,5.6972,7.2194,3.7073,0.0339,6.8429,0.049494137,-0.008727625,0.016012219
TRAIN_0035,4.4083,2.3569,2.9776,3.7384,-2.5697,5.9048,0.9502,4.2186,4.1765,3.7512,4.5071,-0.2821,0.8427,3.8576,1.4977,3.0622,3.3721,-4.3352,0.794,-3.1977,4.8181,0.8427,2.6073,2.4695,3.0064,5.1562,5.4366,-5.0722,5.5964,-2.9567,-0.8243,6.2454,-0.2478,5.4059,3.8256,6.5029,3.9212,-3.4872,1.0363,1.7649,5.0703,4.2093,3.3215,3.1805,2.7416,7.9151,4.5084,3.7298,5.8701,3.5824,4.6149,-1.9023,3.8945,-2.7503,5.8929,6.5757,0.2617,1.6329,7.3009,0.032426371,-0.031880398,0.026884228
TRAIN_0036,6.0299,2.9814,2.039,5.8355,-2.3728,5.1316,1.4685,4.4822,2.1145,5.1324,1.588,1.3693,0.2236,5.0483,1.2628,4.1927,3.5052,-1.8109,-1.9071,-2.8582,5.2534,1.1236,1.1478,-1.9071,2.8588,5.0199,5.7816,-3.5952,4.7716,-2.3728,0.6695,7.0971,2.3197,6.038,4.4204,6.8621,3.9205,-2.2415,1.4589,-0.3901,6.2382,3.4011,4.2,8.4115,2.6464,7.6345,5.5333,3.91,6.5718,3.5467,5.2025,1.6654,6.2595,-0.7427,6.2305,8.1218,1.9662,-0.8825,7.0693,0.022884371,0.005901397,-0.015923524
TRAIN_0037,6.1677,2.8645,2.6931,3.4201,-3.7969,5.8143,1.3506,4.4066,1.5684,2.539,1.0611,-2.0127,0.9815,5.6099,0.0444,3.7788,4.3398,-6.9669,-2.1089,-3.7969,4.5033,0.11,-0.0243,-0.4591,3.8477,3.2894,5.1876,-0.8171,4.2662,-2.7189,-1.3521,7.6449,2.0693,5.2472,4.7547,7.0742,3.3151,3.7029,1.9066,-1.4123,6.5178,3.7047,3.6869,5.5005,3.1586,7.1876,4.7993,3.8365,7.3364,3.2894,4.4972,4.0562,4.0338,-0.777,5.7172,8.2104,1.6068,1.2081,7.732,0.035011386,0.00776881,0.026562001
TRAIN_0038,5.7517,3.1497,2.8089,3.2754,-2.3697,6.5601,-0.4176,4.3776,4.8545,7.0816,1.2411,-3.4339,1.4331,4.857,-3.4339,3.3198,6.4098,-5.3083,-4.5714,-5.3083,3.8439,-1.2209,-1.8489,0.9954,3.8524,3.9701,0.5413,-5.3083,3.4297,-1.764,0.7433,6.6927,4.1228,5.6063,4.9328,6.5967,5.4809,-0.5183,0.7862,0.0015,5.2478,3.2034,2.997,7.6798,3.0768,6.9613,4.8511,3.9514,6.9858,4.5789,5.2421,-1.764,4.8536,-0.8272,4.6327,6.1472,3.6584,1.1565,8.4136,0.056135722,-0.022875358,0.009412076
TRAIN_0039,4.2039,2.0243,2.8511,4.3952,-2.2951,6.3215,0.6861,3.822,3.9535,5.74,2.6397,-0.0342,1.109,3.7088,0.6735,1.625,4.7684,-5.5681,0.7835,-4.3457,5.2486,0.8637,1.5714,-2.2951,2.8084,4.918,4.6715,-3.9832,5.8949,-4.8312,-0.6774,6.3111,2.9749,5.4232,3.412,5.9299,3.812,1.5087,2.4744,1.4431,6.4066,4.3443,3.1587,1.0805,2.7493,7.5445,4.7802,5.9322,5.2025,3.3257,4.4975,0.7598,3.9069,-1.5384,5.6957,7.0383,5.0933,-1.3202,6.8366,0.031407521,-0.000369682,0.021652404
TRAIN_0040,6.2826,4.0523,-1.8358,5.2331,-0.2508,5.3934,3.3297,4.4393,2.5257,0.2037,5.1787,-4.2688,-0.7578,5.5663,2.2517,3.2215,5.0599,-5.0057,0.5282,1.144,5.766,2.3252,2.4121,4.3199,3.588,6.4273,7.0544,-6.5907,5.5182,-3.1313,-0.115,6.9847,0.6285,5.3639,3.3267,6.4813,0.609,-3.7833,3.3415,0.2037,6.2128,2.7154,3.5654,-0.8093,4.8256,8.2739,5.1911,0.9562,4.8774,2.8871,5.4885,-1.7327,1.9677,-5.0057,5.9267,8.2298,1.1028,1.1841,8.1386,0.008328329,-0.030649357,0.031264004
